Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Nick Bonino,2024,2024,1,14,0,0,0,-1,2,0,0,0,0,0,0,0,8,0,165,11:46,boninni01
Derek Boogaard,2011,2011,1,22,1,1,2,0,45,1,0,0,0,1,0,0,4,25,100,4:33,boogade01
Tim Bothwell,1979,1982,4,62,4,10,14,-9,32,4,0,0,2,10,0,0,45,8.9,,,bothwti01
Dick Bouchard,1955,1955,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,bouchdi01
Joël Bouchard,2003,2004,2,55,6,14,20,8,24,5,1,0,2,10,4,0,75,8,1011,18:23,bouchjo01
Frank Boucher*,1927,1944,13,533,152,262,414,,106,40,8,1,24,85,19,0,,,,,bouchfr01
Leo Bourgeault,1927,1931,5,155,17,11,28,,229,,,,4,,,,,,,,bourgle01
Phil Bourque,1993,1994,2,71,6,15,21,-11,47,6,0,0,2,12,3,0,73,8.2,,,bourqph01
Ryan Bourque,2015,2015,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,12,11:49,bourqry01
Paul Boutilier,1988,1988,1,4,0,1,1,-1,6,0,0,0,0,0,1,0,3,0,,,boutipa01
Jack Bownass,1959,1962,3,76,3,7,10,-6,58,3,0,0,1,7,0,0,39,5.1,,,bownaja01
Bill Boyd,1927,1929,3,98,8,1,9,,58,,,,4,,,,,,,,boydbi01
Brian Boyle,2010,2014,5,355,44,46,90,-14,265,38,5,1,7,36,4,6,649,6.8,4726,13:19,boylebr01
Dan Boyle,2015,2016,2,139,19,25,44,18,50,13,6,0,3,13,12,0,211,9,2708,19:29,boyleda01
Donald Brashear,2010,2010,1,36,0,1,1,-9,73,0,0,0,0,1,0,0,18,0,225,6:15,brashdo01
Derick Brassard,2013,2016,4,254,69,105,174,26,110,46,23,0,12,66,39,0,534,12.9,4318,17:00,brassde01
Justin Braun,2022,2022,1,8,1,1,2,-1,0,1,0,0,0,1,0,0,6,16.7,127,15:52,braunju01
Doug Brennan,1932,1934,3,123,9,7,16,,147,0,0,0,0,0,0,0,,,,,brenndo01
Rich Brennan,1999,1999,1,24,1,3,4,-4,23,1,0,0,0,0,3,0,36,2.8,313,13:02,brennri01
John Brenneman,1965,1966,2,33,3,3,6,-15,20,3,0,0,0,3,0,0,29,10.3,,,brennjo01
Connor Brickley,2019,2019,1,14,1,3,4,3,9,1,0,0,0,3,0,0,18,5.6,126,8:59,brickco01
Stéphane Brochu,1989,1989,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,brochst01
Jonny Brodzinski,2021,2024,4,45,3,2,5,3,22,3,0,0,0,2,0,0,68,4.4,463,10:18,brodzjo01
Bob Brooke,1984,1987,4,175,35,36,71,-17,214,27,6,2,3,27,6,3,308,11.4,,,brookbo01
Paul Broten,1990,1993,4,194,27,33,60,11,194,23,0,4,1,30,0,3,230,11.7,,,brotepa01
Arnie Brown,1965,1971,7,460,33,98,131,-11,547,30,3,0,5,86,11,1,851,3.9,,,brownar01
Brad Brown,2001,2001,1,48,1,3,4,0,107,1,0,0,0,3,0,0,14,7.1,697,14:31,brownbr01
Harold Brown,1946,1946,1,13,2,1,3,,2,2,0,0,0,1,0,0,,,,,brownha01
Larry Brown,1970,1971,2,46,1,4,5,14,18,0,1,0,0,2,2,0,73,1.4,,,brownla01
Stan Brown,1927,1927,1,24,6,3,9,,14,,,,2,,,,,,,,brownst01
Jeff Brubaker,1988,1988,1,31,2,0,2,0,78,2,0,0,0,0,0,0,9,22.2,,,brubaje01
Glenn Brydson,1936,1936,1,30,4,13,17,,9,4,0,0,1,7,6,0,,,,,brydsgl01
Bucky Buchanan,1949,1949,1,2,0,0,0,,0,0,0,0,0,0,0,0,,,,,buchabu01
Pavel Buchnevich,2017,2021,5,301,79,116,195,7,112,58,18,3,8,84,31,1,578,13.7,4789,15:55,buchnpa01
Hy Buller,1952,1954,3,179,22,55,77,,209,17,5,0,1,26,29,0,,,,,bullehy01
