Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Joe Krol,1937,1939,2,2,1,1,2,,0,1,0,0,0,1,0,0,,,,,kroljo01
Jim Krulicki,1971,1971,1,27,0,2,2,-2,6,0,0,0,0,0,1,1,14,0,,,kruliji01
Aggie Kukulowicz,1953,1954,2,4,1,0,1,,0,0,1,0,0,0,0,0,,,,,kukulag01
Stu Kulak,1987,1987,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,,,kulakst01
Eddie Kullman,1948,1954,6,343,56,70,126,,300,52,4,0,4,66,4,0,,,,,kullmed01
Alan Kuntz,1942,1946,2,45,10,12,22,,12,9,1,0,2,12,0,0,,,,,kuntzal01
Jari Kurri*,1996,1996,1,14,1,4,5,-4,2,1,0,0,0,3,1,0,27,3.7,,,kurrija01
Orland Kurtenbach,1961,1970,5,199,30,61,91,6,191,21,8,1,5,55,3,3,442,6.8,,,kurteor01
Larry Kwong,1948,1948,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,kwongla01
Bill Kyle,1950,1951,2,3,0,3,3,,0,0,0,0,0,3,0,0,,,,,kylebi01
Gus Kyle,1950,1951,2,134,5,8,13,,235,5,0,0,1,8,0,0,,,,,kylegu01
Nick Kypreos,1994,1996,3,128,7,12,19,-7,272,7,0,0,2,12,0,0,80,8.8,,,kypreni01
Mike Labadie,1953,1953,1,3,0,0,0,,0,0,0,0,0,0,0,0,,,,,labadmi01
Gord Labossiere,1964,1965,2,16,0,0,0,-7,8,0,0,0,0,0,0,0,23,0,,,labosgo01
Max Labovitch,1944,1944,1,5,0,0,0,,4,0,0,0,0,0,0,0,,,,,labovma01
Guy Labrie,1945,1945,1,27,2,2,4,,14,2,0,0,0,2,0,0,,,,,labrigu01
Dan LaCouture,2003,2004,2,83,6,6,12,-9,82,5,1,0,1,6,0,0,56,10.7,807,9:43,lacouda01
Daniel Lacroix,1994,1996,3,30,2,2,4,-1,30,2,0,0,0,2,0,0,14,14.3,,,lacroda01
Eric Lacroix,1999,2001,3,146,8,12,20,-23,67,8,0,0,2,11,1,0,85,9.4,1115,7:38,lacroer01
Nathan LaFayette,1995,1996,2,17,0,0,0,0,2,0,0,0,0,0,0,0,10,0,,,lafayna01
Guy Lafleur*,1989,1989,1,67,18,27,45,1,12,12,6,0,2,17,10,0,122,14.8,,,laflegu01
Pat LaFontaine*,1998,1998,1,67,23,39,62,-16,36,12,11,0,2,21,18,0,160,14.4,1208,,lafonpa01
Alexis Lafrenière,2021,2024,4,230,54,48,102,8,80,50,4,0,11,44,4,0,336,16.1,3347,14:33,lafreal01
Jason Lafreniere,1989,1989,1,38,8,16,24,-3,6,5,3,0,0,10,6,0,42,19,,,lafreja01
Tom Laidlaw,1981,1987,7,510,20,99,119,-42,561,17,2,1,2,87,5,7,392,5.1,,,laidlto01
Lane Lambert,1987,1987,1,18,2,2,4,2,33,2,0,0,1,2,0,0,14,14.3,,,lambela01
Jean-Paul Lamirande,1947,1950,3,48,5,5,10,,26,5,0,0,0,4,1,0,,,,,lamirje01
Bryce Lampman,2004,2007,3,10,0,0,0,-5,2,0,0,0,0,0,0,0,8,0,182,18:14,lampmbr01
Jack Lancien,1947,1951,3,63,1,5,6,,35,1,0,0,1,5,0,0,,,,,lancija01
Myles Lane,1929,1929,1,24,1,0,1,,32,,,,0,,,,,,,,lanemy01
Darren Langdon,1995,2000,6,277,14,15,29,-4,735,14,0,0,2,15,0,0,95,14.7,625,9:37,langdda01
Albert Langlois,1962,1964,3,173,13,34,47,-22,184,10,3,0,2,28,5,1,232,5.6,,,langlal01
Ian Laperrière,1996,1996,1,28,1,2,3,-5,53,1,0,0,0,2,0,0,21,4.8,,,laperia01
Edgar Laprade*,1946,1955,10,500,108,172,280,,42,92,13,3,18,147,23,2,,,,,lapraed01
Steve Larmer,1994,1995,2,115,35,54,89,22,57,21,9,5,11,33,19,2,262,13.4,,,larmest01
Claude Larose,1980,1980,1,25,4,7,11,-4,2,4,0,0,0,4,3,0,50,8,,,laroscl02
Cory Larose,2004,2004,1,7,0,1,1,-2,4,0,0,0,0,1,0,0,10,0,80,11:27,larosco01
Pierre Larouche,1984,1988,5,253,123,120,243,-49,59,82,41,0,12,81,38,1,724,17,,,laroupi01
Steve Larouche,1996,1996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,laroust01
Norm Larson,1947,1947,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,larsono01
James Latos,1989,1989,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,,latosja01
Phil Latreille,1961,1961,1,4,0,0,0,-2,2,0,0,0,0,0,0,0,3,0,,,latreph01
Peter Laviolette,1989,1989,1,12,0,0,0,2,6,0,0,0,0,0,0,0,2,0,,,laviope01
Brian Lawton,1989,1989,1,30,7,10,17,-2,39,4,3,0,0,8,2,0,58,12.1,,,lawtobr01
Hal Laycoe,1946,1947,2,75,1,14,15,,31,1,0,0,0,9,4,1,,,,,laycoha01
Jim Leavins,1987,1987,1,4,0,1,1,0,4,0,0,0,0,1,0,0,4,0,,,leaviji01
Al LeBrun,1961,1966,2,6,0,2,2,1,4,0,0,0,0,2,0,0,5,0,,,lebrual01
Albert Leduc,1934,1934,1,7,0,0,0,,6,0,0,0,0,0,0,0,,,,,leducal01
Grant Ledyard,1985,1986,2,69,10,21,31,3,73,9,1,0,1,9,12,0,148,6.8,,,ledyagr01
Brian Leetch*,1988,2004,17,1129,240,741,981,24,525,126,106,8,37,320,408,13,3469,6.9,12531,31:01:00,leetcbr01
Sylvain Lefebvre,2000,2003,4,229,4,30,34,-20,131,4,0,0,0,24,1,5,140,2.9,4031,17:36,lefebsy01
Roger Leger,1944,1944,1,7,1,2,3,,2,1,0,0,0,0,2,0,,,,,legerro01
Randy Legge,1973,1973,1,12,0,2,2,0,2,0,0,0,0,2,0,0,10,0,,,leggera01
Mikko Leinonen,1982,1984,3,159,31,77,108,18,69,26,5,0,4,45,30,2,241,12.9,,,leinomi01
Brendan Lemieux,2019,2021,3,109,11,20,31,-18,214,8,2,1,1,16,3,1,147,7.5,1320,12:07,lemiebr01
Real Lemieux,1970,1974,2,63,4,6,10,0,51,4,0,0,0,6,0,0,49,8.2,,,lemiere01
Jake Leschyshyn,2023,2023,1,13,0,0,0,-3,0,0,0,0,0,0,0,0,8,0,108,8:21,leschja01
Tony Leswick,1946,1951,6,368,113,89,202,,422,97,15,1,17,75,13,1,,,,,leswito01
Vinni Lettieri,2018,2019,2,46,2,6,8,-19,14,1,1,0,0,4,2,0,68,2.9,503,10:56,lettivi01
Joe Levandoski,1947,1947,1,8,1,1,2,,0,1,0,0,0,1,0,0,,,,,levanjo01
Alex Levinsky,1935,1935,1,20,0,4,4,,6,0,0,0,0,3,1,0,,,,,levinal01
Danny Lewicki,1955,1958,4,280,76,90,166,,107,63,12,1,14,56,34,0,,,,,lewicda01
Dale Lewis,1976,1976,1,8,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,,,lewisda01
Igor Liba,1989,1989,1,10,2,5,7,1,15,1,1,0,0,3,2,0,14,14.3,,,libaig01
Doug Lidster,1994,1998,4,177,8,19,27,11,131,8,0,0,0,14,2,3,165,4.8,577,,lidstdo01
David Liffiton,2006,2007,2,3,0,0,0,1,9,0,0,0,0,0,0,0,2,0,32,10:35,liffida01
Oscar Lindberg,2015,2017,3,134,21,27,48,14,75,20,1,0,3,24,3,0,202,10.4,1540,11:30,lindbos02
Johan Lindbom,1998,1998,1,38,1,3,4,4,28,1,0,0,0,3,0,0,38,2.6,443,,lindbjo01
Ryan Lindgren,2019,2024,6,270,7,57,64,76,189,6,0,1,1,55,0,2,278,2.5,5096,18:52,lindgry01
Eric Lindros*,2002,2004,3,192,66,92,158,31,339,41,24,1,7,72,20,0,514,12.8,3779,19:41,lindrer01
Richard Lintner,2003,2003,1,10,1,0,1,-5,0,0,1,0,0,0,0,0,9,11.1,143,14:20,lintnri01
Enver Lisin,2010,2010,1,57,6,8,14,-1,18,6,0,0,0,7,1,0,91,6.6,637,11:11,lisinen01
Bill Lochead,1980,1980,1,7,0,0,0,-5,4,0,0,0,0,0,0,0,3,0,,,lochebi01
Corey Locke,2010,2010,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,19,6:18,lockeco01
Troy Loney,1995,1995,1,4,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,,,loneytr01
Jim Lorentz,1972,1972,1,5,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,,,lorenji01
Kevin Lowe*,1993,1996,4,217,10,38,48,20,262,9,1,0,1,32,2,4,167,6,,,loweke01
Odie Lowe,1950,1950,1,3,1,1,2,,0,1,0,0,0,1,0,0,,,,,loweod01
Don Luce,1970,1971,2,21,1,3,4,-2,8,1,0,0,0,3,0,0,23,4.3,,,lucedo01
Pentti Lund,1949,1951,3,182,36,41,77,,40,30,6,0,2,37,4,0,,,,,lundpe01
Nils Lundkvist,2022,2022,1,25,1,3,4,4,0,0,1,0,0,2,1,0,32,3.1,348,13:56,lundkni01
Jamie Lundmark,2003,2006,3,114,11,19,30,-13,55,11,0,0,1,13,6,0,147,7.5,1408,12:21,lundmja01
Roman Lyashenko,2002,2003,2,17,2,0,2,-2,0,2,0,0,0,0,0,0,17,11.8,141,8:18,lyashro01
Vic Lynn,1943,1943,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,lynnvi01
Jason MacDonald,2004,2004,1,4,0,0,0,-1,19,0,0,0,0,0,0,0,3,0,33,8:11,macdoja01
Kilby MacDonald,1940,1945,4,152,36,34,70,,47,36,0,0,6,29,4,1,,,,,macdoki01
Parker MacDonald,1957,1960,3,119,15,18,33,-1,52,12,3,0,0,17,1,0,1,0,,,macdopa01
Hub Macey,1942,1943,2,18,6,8,14,,0,4,2,0,1,7,1,0,,,,,maceyhu01
Bruce MacGregor,1971,1974,4,220,62,73,135,53,44,53,3,6,13,63,7,3,378,16.4,,,macgrbr01
Ian MacIntosh,1953,1953,1,4,0,0,0,,4,0,0,0,0,0,0,0,,,,,macinia01
Norm Maciver,1987,1989,3,67,9,26,35,2,28,5,4,0,2,13,13,0,103,8.7,,,macivno01
Bill MacKenzie,1935,1935,1,20,1,0,1,,10,0,0,1,0,0,0,0,,,,,mackebi01
Reg Mackey,1927,1927,1,41,0,0,0,,16,,,,0,,,,,,,,mackere01
John MacLean,1999,2001,3,161,46,51,97,1,98,26,17,3,5,41,8,2,389,11.8,2854,17:44,maclejo01
Brian MacLellan,1986,1986,1,51,11,21,32,-21,47,3,8,0,1,14,7,0,113,9.7,,,maclebr01
Bob MacMillan,1975,1975,1,22,1,2,3,3,4,1,0,0,0,2,0,0,16,6.3,,,macmibo01
Al MacNeil,1967,1967,1,58,0,4,4,9,44,0,0,0,0,4,0,0,27,0,,,macneal01
Craig MacTavish,1994,1994,1,12,4,2,6,6,11,3,1,0,1,2,0,0,25,16,,,mactacr01
John Mahaffy,1944,1944,1,28,9,20,29,,0,9,0,0,0,20,0,0,,,,,mahafjo01
Vladimir Malakhov,2001,2004,4,211,12,53,65,-2,192,9,3,0,0,26,23,4,365,3.3,4522,21:26,malakvl01
Manny Malhotra,1999,2002,4,206,19,22,41,-19,90,17,1,1,5,21,1,0,166,11.4,1821,8:50,malhoma01
Marek Malík,2006,2008,3,185,6,43,49,67,196,6,0,0,2,37,4,2,161,3.7,3650,19:44,malikma01
Troy Mallette,1990,1991,2,150,25,26,51,-16,557,21,4,0,3,23,3,0,198,12.6,,,malletr01
Ryan Malone,2015,2015,1,6,0,0,0,-4,4,0,0,0,0,0,0,0,6,0,60,10:02,malonry01
Dave Maloney,1975,1985,11,605,70,225,295,63,1113,49,17,4,7,166,55,4,895,7.8,,,malonda02
Don Maloney,1979,1989,11,653,195,307,502,38,739,131,50,14,27,235,65,7,1046,18.6,,,malondo01
Gus Mancuso,1943,1943,1,21,6,8,14,,13,6,0,0,2,8,0,0,,,,,mancugu01
Mike Maneluk,1999,1999,1,4,0,0,0,-1,4,0,0,0,0,0,0,0,3,0,29,7:18,manelmi01
Jack Mann,1944,1945,2,9,3,4,7,,0,3,0,0,1,4,0,0,,,,,mannja01
Ray Manson,1949,1949,1,1,0,1,1,,0,0,0,0,0,1,0,0,,,,,mansora01
Paul Mara,2007,2009,3,156,8,35,43,9,164,6,2,0,0,16,18,1,222,3.6,2968,19:01,marapa01
Bud Maracle,1931,1931,1,11,1,3,4,,4,,,,0,,,,,,,,maracbu01
Todd Marchant,1994,1994,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,,,marchto01
Dave Marcinyshyn,1993,1993,1,2,0,0,0,-1,2,0,0,0,0,0,0,0,1,0,,,marcida01
Ray Markham,1980,1980,1,14,1,1,2,-3,21,1,0,0,0,1,0,0,6,16.7,,,markhra01
Mario Marois,1978,1981,4,166,15,52,67,9,356,13,2,0,1,34,18,0,297,5.1,,,maroima01
Gilles Marotte,1974,1976,3,180,10,66,76,9,131,9,1,0,2,59,3,4,346,2.9,,,marotgi01
Bert Marshall,1973,1973,1,8,0,0,0,-3,14,0,0,0,0,0,0,0,4,0,,,marshbe01
Don Marshall,1964,1970,7,479,129,141,270,13,40,93,33,3,19,108,26,7,992,13,,,marshdo01
Clare Martin,1952,1952,1,15,0,1,1,,8,0,0,0,0,1,0,0,,,,,marticl01
Brandon Mashinter,2013,2014,2,10,0,0,0,-3,10,0,0,0,0,0,0,0,5,0,51,5:07,mashibr01
Charley Mason,1935,1936,2,74,6,14,20,,22,4,2,0,0,13,1,0,,,,,masonch01
Stéphane Matteau,1994,1996,3,85,11,10,21,-7,49,9,2,0,0,10,0,0,98,11.2,,,mattest01
Brad Maxwell,1987,1987,1,9,0,4,4,-1,6,0,0,0,0,2,2,0,10,0,,,maxwebr02
Jim Mayer,1980,1980,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,,,mayerji01
Sam McAdam,1931,1931,1,5,0,0,0,,0,,,,0,,,,,,,,mcadasa01
Chris McAllister,2004,2004,1,12,0,1,1,-4,12,0,0,0,0,1,0,0,8,0,154,12:49,mcallch01
Bryan McCabe,2011,2011,1,19,2,4,6,-1,6,0,2,0,0,0,4,0,34,5.9,302,15:54,mccabbr01
Dunc McCallum,1966,1966,1,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,,,mccaldu01
Dan McCarthy,1981,1981,1,5,4,0,4,3,4,2,2,0,0,0,0,0,7,57.1,,,mccarda01
Sandy McCarthy,2001,2004,4,258,28,32,60,-17,425,26,2,0,6,32,0,0,277,10.1,2278,8:50,mccarsa01
Rob McClanahan,1982,1984,3,141,33,43,76,19,77,31,0,2,3,43,0,0,206,16,,,mcclaro01
Shawn McCosh,1995,1995,1,5,1,0,1,1,2,1,0,0,0,0,0,0,2,50,,,mccossh01
Bill McCreary,1954,1955,2,10,0,2,2,,2,0,0,0,0,1,1,0,,,,,mccrebi01
Bill McDonagh,1950,1950,1,4,0,0,0,,2,0,0,0,0,0,0,0,,,,,mcdonbi01
Ryan McDonagh,2011,2018,8,516,51,187,238,141,221,38,9,4,10,127,52,8,901,5.7,12155,23:33,mcdonry01
Bucko McDonald,1944,1945,2,79,7,15,22,,14,5,2,0,0,15,0,0,,,,,mcdonbu01
Jack McDonald,1944,1944,1,43,10,9,19,,6,9,1,0,0,8,1,0,,,,,mcdonja02
Robert McDonald,1944,1944,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,mcdonro01
Mike McDougal,1979,1981,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,mcdoumi01
Mike McEwen,1977,1986,5,242,42,92,134,-28,141,27,15,0,5,53,38,1,523,8,,,mcewemi01
Sandy McGregor,1964,1964,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,,mcgresa01
Dylan McIlrath,2014,2017,4,38,2,2,4,6,84,2,0,0,0,2,0,0,28,7.1,512,13:28,mcilrdy01
John McIntyre,1993,1993,1,11,1,0,1,-1,4,1,0,0,0,0,0,0,5,20,,,mcintjo01
Greg McKegg,2020,2022,2,96,7,7,14,-13,23,6,0,1,0,5,0,2,65,10.8,974,10:09,mckeggr01
Tony McKegney,1987,1987,1,64,29,17,46,3,56,20,7,2,6,14,3,0,166,17.5,,,mckegto01
Steve McKenna,2002,2002,1,54,2,1,3,0,144,1,1,0,1,1,0,0,17,11.8,215,3:59,mckenst01
Don McKenney,1963,1964,2,76,17,33,50,-15,10,12,5,0,2,26,7,0,126,13.5,,,mckendo01
John McKenzie,1966,1966,1,35,6,5,11,-17,36,4,2,0,0,5,0,0,73,8.2,,,mckenjo01
Cody McLeod,2018,2019,2,56,1,2,3,-21,99,1,0,0,0,2,0,0,46,2.2,409,7:18,mcleoco01
Jackie McLeod,1950,1955,5,106,14,23,37,,10,13,1,0,1,22,1,0,,,,,mcleoja01
Mike McMahon,1964,1972,4,61,0,13,13,-7,48,0,0,0,0,8,5,0,62,0,,,mcmahmi02
George McPhee,1984,1987,4,109,21,24,45,-4,247,20,1,0,4,23,1,0,117,17.9,,,mcphege01
Adam McQuaid,2019,2019,1,36,2,3,5,3,33,2,0,0,0,2,0,1,19,10.5,629,17:28,mcquaad01
Brian McReynolds,1991,1991,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,,mcreybr01
Marty McSorley,1996,1996,1,9,0,2,2,-6,21,0,0,0,0,1,1,0,12,0,,,mcsorma01
Jayson Megna,2016,2016,1,6,1,1,2,-1,2,1,0,0,0,1,0,0,9,11.1,73,12:15,megnaja01
Dick Meissner,1964,1965,2,36,3,5,8,-2,0,3,0,0,0,4,1,0,36,8.3,,,meissdi01
Larry Melnyk,1986,1988,3,133,4,21,25,-14,281,4,0,0,1,19,2,0,94,4.3,,,melnyla01
Jan Mertzig,1999,1999,1,23,0,2,2,-5,8,0,0,0,0,1,1,0,10,0,277,12:02,mertzja01
Joby Messier,1993,1995,3,25,0,4,4,1,24,0,0,0,0,4,0,0,22,0,,,messijo01
Mark Messier*,1992,2004,10,698,250,441,691,74,667,155,72,23,41,253,160,28,1658,15.1,5043,18:12,messima01
Larry Mickey,1966,1968,3,19,0,2,2,-1,2,0,0,0,0,2,0,0,9,0,,,mickela01
Nick Mickoski,1949,1955,7,364,89,93,182,,127,71,16,2,8,70,23,0,,,,,mickoni01
Rick Middleton,1975,1976,2,124,46,44,90,-45,33,33,13,0,7,21,23,0,265,17.4,,,middlri01
Niko Mikkola,2023,2023,1,31,1,2,3,4,23,1,0,0,0,2,0,0,31,3.2,580,18:42,mikkoni01
Jim Mikol,1965,1965,1,30,1,3,4,-13,6,0,0,1,0,1,2,0,30,3.3,,,mikolji01
Hib Milks,1932,1932,1,48,0,4,4,,14,,,,0,,,,,,,,milkshi01
Corey Millen,1990,1992,3,19,4,5,9,-2,12,2,2,0,0,2,3,0,32,12.5,,,milleco01
J.T. Miller,2013,2018,6,341,72,100,172,18,144,56,13,3,18,82,17,1,546,13.2,5057,14:50,millejt01
K'Andre Miller,2021,2024,4,228,22,60,82,50,99,21,1,0,6,52,4,4,288,7.6,4858,21:18,milleka01
Kelly Miller,1985,1987,3,117,19,36,55,-4,76,16,2,1,4,32,4,0,174,10.9,,,milleke01
Kevin Miller,1989,1991,3,103,20,37,57,-1,67,17,1,2,4,33,3,1,162,12.3,,,milleke02
Warren Miller,1980,1980,1,55,7,6,13,-6,17,7,0,0,3,6,0,0,51,13.7,,,millewa01
Boris Mironov,2003,2004,2,111,6,22,28,4,120,4,2,0,1,15,6,1,185,3.2,2288,20:37,mironbo01
John Mitchell,2012,2012,1,63,5,11,16,10,8,5,0,0,0,9,2,0,64,7.8,640,10:10,mitchjo01
Bill Moe,1945,1949,5,261,11,42,53,,163,11,0,0,2,32,10,0,,,,,moebi01
Lloyd Mohns,1944,1944,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,mohnsll01
Randy Moller,1990,1992,3,164,7,38,45,-3,378,6,1,0,1,28,10,0,166,4.2,,,mollera01
Larry Molyneaux,1938,1939,2,45,0,1,1,,20,0,0,0,0,1,0,0,,,,,molynla01
Sergio Momesso,1996,1997,2,28,4,4,8,-4,41,2,2,0,0,2,2,0,46,8.7,,,momesse01
Hartland Monahan,1975,1975,1,6,0,1,1,-2,4,0,0,0,0,1,0,0,5,0,,,monahha01
Dominic Moore,2004,2016,5,322,31,50,81,7,106,26,2,3,7,43,5,2,448,6.9,4121,12:48,mooredo01
Greg Moore,2008,2008,1,6,0,0,0,-2,0,0,0,0,0,0,0,0,13,0,71,11:49,mooregr01
John Moore,2013,2015,3,125,6,21,27,23,49,6,0,0,2,19,2,0,186,3.2,1861,14:53,moorejo01
Jayson More,1989,1997,2,15,0,1,1,-1,25,0,0,0,0,1,0,0,10,0,,,moreja01
Howie Morenz*,1936,1936,1,18,2,5,7,,6,1,1,0,0,4,1,0,,,,,morenho01
Derek Morris,2009,2009,1,18,0,8,8,3,16,0,0,0,0,5,3,0,31,0,354,19:41,morride01
Moe Morris,1949,1949,1,18,0,1,1,,6,0,0,0,0,1,0,0,,,,,morrimo01
Jim Morrison,1961,1961,1,19,1,6,7,-7,6,1,0,0,0,4,2,0,34,2.9,,,morriji01
Mark Morrison,1982,1984,2,10,1,1,2,-5,0,1,0,0,1,1,0,0,11,9.1,,,morrima01
Mike Mottau,2001,2002,2,19,0,3,3,-6,13,0,0,0,0,1,2,0,17,0,282,14:49,mottami01
Tyler Motte,2022,2023,2,33,5,5,10,1,2,5,0,0,1,5,0,0,62,8.1,378,11:28,mottety01
Chris Mueller,2015,2015,1,7,1,1,2,-1,0,0,1,0,0,1,0,0,10,10,73,10:27,muellch01
Brian Mullen,1988,1991,4,307,100,148,248,24,188,65,29,6,15,100,44,4,738,13.6,,,mullebr01
Don Murdoch,1977,1980,4,221,97,93,190,-20,110,66,30,1,11,64,29,0,687,14.1,,,murdodo01
Murray Murdoch,1927,1937,11,508,84,104,188,,193,26,5,2,15,34,7,3,,,,,murdomu01
Mike Murphy,1973,1974,2,31,6,5,11,-7,5,6,0,0,1,5,0,0,63,9.5,,,murphmi01
Ron Murphy,1953,1957,5,207,41,60,101,,139,31,10,0,4,45,15,0,,,,,murphro01
Garth Murray,2004,2004,1,20,1,0,1,-5,24,1,0,0,0,0,0,0,18,5.6,185,9:16,murraga01
Rem Murray,2002,2003,2,43,7,8,15,-12,8,5,1,1,1,8,0,0,76,9.2,675,15:42,murrare01
Vic Myles,1943,1943,1,45,6,8,14,,57,5,1,0,0,7,1,0,,,,,mylesvi01
Vladislav Namestnikov,2018,2020,3,99,13,22,35,-14,56,9,2,2,3,17,2,3,150,8.7,1557,15:44,namesvl01
Rick Nash,2013,2018,6,375,145,107,252,64,178,111,26,8,29,82,21,4,1305,11.1,6509,17:21,nashri01
Markus Näslund,2009,2009,1,82,24,22,46,-10,57,16,8,0,0,16,6,0,215,11.2,1409,17:11,nasluma02
Rumun Ndur,1999,1999,1,31,1,3,4,-2,46,1,0,0,0,3,0,0,21,4.8,371,11:58,ndurru01
Stan Neckář,1999,1999,1,18,0,0,0,-1,8,0,0,0,0,0,0,0,8,0,248,13:46,neckast01
Václav Nedomanský*,1983,1983,1,35,12,8,20,-3,0,3,9,0,3,3,5,0,107,11.2,,,nedomva01
Petr Nedvěd,1995,2004,7,478,149,202,351,-16,312,97,44,8,25,138,59,5,1240,12,8570,19:50,nedvepe01
Jim Neilson,1963,1974,12,811,60,238,298,32,763,44,15,1,11,173,62,3,1826,3.3,,,neilsji01
Sergei Nemchinov,1992,1997,6,418,105,120,225,55,151,97,7,1,20,102,13,5,687,15.3,,,nemchse01
Patrik Nemeth,2022,2022,1,63,2,5,7,-9,28,2,0,0,1,5,0,0,52,3.8,1048,16:38,nemetpa01
Steve Nemeth,1988,1988,1,12,2,0,2,-4,2,1,0,1,0,0,0,0,12,16.7,,,nemetst01
Lance Nethery,1981,1982,2,38,11,12,23,-1,12,9,2,0,0,12,0,0,51,21.6,,,nethela01
Bob Nevin,1964,1971,8,505,168,174,342,20,105,126,38,4,26,115,56,3,1362,12.3,,,nevinbo01
Kris Newbury,2011,2013,3,24,0,2,2,-1,68,0,0,0,0,2,0,0,12,0,172,7:11,newbukr01
Dan Newman,1977,1978,2,100,14,21,35,-16,59,14,0,0,2,19,2,0,148,9.5,,,newmada01
Bernie Nicholls,1990,1992,3,104,37,73,110,1,116,22,15,0,2,36,37,0,280,13.2,,,nichobe01
Graeme Nicolson,1983,1983,1,10,0,0,0,-5,9,0,0,0,0,0,0,0,3,0,,,nicolgr01
Jeff Nielsen,1997,1997,1,2,0,0,0,-1,2,0,0,0,0,0,0,0,1,0,,,nielsje01
Ville Nieminen,2006,2006,1,48,5,12,17,10,53,5,0,0,2,10,1,1,73,6.8,559,11:38,niemivi01
Boo Nieves,2017,2020,4,76,5,14,19,3,24,5,0,0,1,14,0,0,59,8.5,743,9:46,nievecr01
Chris Nilan,1988,1990,3,85,11,14,25,-16,332,11,0,0,1,14,0,0,83,13.3,,,nilanch01
Ulf Nilsson,1979,1983,4,170,57,112,169,30,85,41,14,2,10,79,31,2,257,22.2,,,nilssul01
Brian Noonan,1994,1997,3,101,24,24,48,-5,66,12,12,0,5,17,6,1,183,13.1,,,noonabr01
Mattias Norström,1994,1996,3,43,2,6,8,7,30,2,0,0,0,6,0,0,24,8.3,,,norstma01
Lawrence Nycholat,2004,2004,1,9,0,0,0,-2,6,0,0,0,0,0,0,0,6,0,154,17:09,nychola01
Michael Nylander,2006,2007,2,160,49,113,162,43,118,29,20,0,8,79,34,0,365,13.4,3176,19:51,nylanmi01
Buddy O'Connor*,1948,1951,4,238,62,102,164,,12,50,11,1,11,75,27,0,,,,,oconnbu01
Rob O'Gara,2018,2018,1,22,0,3,3,-2,6,0,0,0,0,3,0,0,19,0,378,17:10,ogararo01
Russell Oatman,1929,1929,1,27,1,1,2,,8,,,,1,,,,,,,,oatmaru01
John Ogrodnick,1988,1992,5,338,126,128,254,29,106,84,42,0,22,90,37,1,876,14.4,,,ogrodjo01
Eddie Olczyk,1993,1995,3,103,18,22,40,6,58,17,1,0,2,16,6,0,178,10.1,,,olczyed01
David Oliver,1997,1997,1,14,2,1,3,3,4,2,0,0,0,1,0,0,13,15.4,,,oliveda01
Krzysztof Oliwa,2003,2003,1,9,0,0,0,1,51,0,0,0,0,0,0,0,3,0,34,3:45,oliwakr01
Colton Orr,2006,2009,4,224,4,7,11,-29,522,4,0,0,2,7,0,0,87,4.6,1458,6:31,orrco01
Jed Ortmeyer,2004,2007,3,177,9,15,24,-1,76,8,0,1,1,14,0,1,205,4.4,1954,11:02,ortmeje01
Mark Osborne,1984,1995,5,253,61,74,135,-9,321,44,16,1,8,55,17,2,463,13.2,,,osborma01
Sandis Ozoliņš,2006,2007,2,40,3,14,17,-6,28,1,2,0,0,4,10,0,56,5.4,848,21:12,ozolisa01
Wilf Paiement,1986,1986,1,8,1,6,7,2,13,1,0,0,0,5,1,0,14,7.1,,,paiemwi01
Daniel Paille,2016,2016,1,12,0,0,0,-2,0,0,0,0,0,0,0,0,11,0,137,11:25,paillda01
Aldo Palazzari,1944,1944,1,11,2,0,2,,0,2,0,0,0,0,0,0,,,,,palazal01
Artemi Panarin,2020,2024,5,282,108,257,365,80,84,81,27,0,15,159,98,0,751,14.4,5568,19:45,panarar01
P.A. Parenteau,2010,2010,1,22,3,5,8,-2,4,2,1,0,0,3,2,0,38,7.9,301,13:42,parenpi01
Brad Park*,1969,1976,8,465,95,283,378,178,738,58,34,3,14,177,101,5,1320,7.2,,,parkbr01
Joe Paterson,1988,1989,2,41,1,4,5,-7,147,1,0,0,0,4,0,0,17,5.9,,,paterjo01
